id;Severity;age_classes;day_week;DEFORMED_classes;m_harm_classes;hour;impact1_classes;lgt_cond;make;man_coll;month;p_crash1;pcrash4;pcrash5;rel_road;reljct1;reljct2;rest_use;sex;speed_classes;typ_int;valign;vnum_lan;vsurcond;vtrafway;weather_classes
2;1;7;6;4;1;22;13;3;2.0;4;2;1;2;2;1;0;2;1.0;1.0;4;2;2;3;2;3;1
3;0;4;6;4;1;12;13;1;4.0;3;2;8;2;2;1;0;1;1.0;1.0;4;1;3;3;2;2;1
5;1;7;4;4;5;17;13;3;4.0;1;3;8;2;3;4;0;1;2.0;1.0;5;1;4;3;2;2;1
6;1;8;2;4;1;15;7;1;10.0;2;3;5;2;2;1;0;1;1.0;1.0;2;1;2;3;2;2;1
7;1;7;5;1;5;20;1;3;7.0;1;3;8;2;3;4;0;8;1.0;1.0;2;1;2;3;2;2;1
9;1;9;4;4;1;10;13;1;2.0;4;3;1;2;2;1;0;2;2.0;1.0;4;2;2;3;2;2;1
10;1;9;1;4;1;17;12;1;7.0;6;3;8;2;2;1;0;1;1.0;1.0;3;1;3;3;2;2;1
11;1;10;2;4;5;12;1;1;7.0;1;3;8;2;3;4;0;1;1.0;1.0;3;1;4;3;2;2;1
12;0;8;4;4;1;5;4;3;7.0;4;3;8;2;2;1;0;2;1.0;1.0;4;2;4;3;2;3;1
14;0;8;6;4;1;14;13;1;7.0;3;3;8;3;2;1;0;1;1.0;1.0;5;1;3;3;2;2;1
16;0;5;1;4;5;17;12;1;4.0;6;3;8;2;2;1;0;1;1.0;1.0;4;1;3;3;2;2;1
17;1;9;7;4;4;10;13;1;7.0;1;4;1;2;3;4;0;1;1.0;1.0;5;1;2;3;2;3;1
18;0;4;1;4;5;23;1;3;4.0;1;4;8;2;3;4;0;1;3.0;1.0;5;1;4;3;2;2;1
21;1;3;2;4;1;14;13;1;4.0;1;4;8;2;3;4;0;1;3.0;1.0;7;1;3;3;2;2;1
22;1;4;3;4;5;21;1;3;10.0;1;4;8;2;2;1;0;1;1.0;1.0;4;1;4;3;2;2;1
