id;Severity;age_classes;day_week;DEFORMED_classes;hour;impact1_classes;make;man_coll;month;reljct2;rest_use;vnum_lan;vtrafway
33221;1;9;6;4;22;13;7.0;2;4;8;3.0;4;3
18414;1;12;2;4;7;4;2.0;1;8;1;3.0;3;2
33075;1;4;4;4;10;9;4.0;4;4;2;1.0;3;6
11324;1;5;4;4;14;4;2.0;5;9;1;3.0;3;2
10986;1;8;2;4;19;12;4.0;4;1;2;1.0;3;2
35417;0;4;4;4;17;13;10.0;2;9;1;4.0;6;4
33705;0;3;3;4;19;13;2.0;2;8;1;1.0;7;4
5897;0;7;5;4;16;15;7.0;1;9;1;3.0;3;2
32264;1;4;1;4;19;13;10.0;3;6;1;4.0;3;2
15900;0;9;2;4;16;1;7.0;1;8;8;3.0;3;2
18237;1;8;6;4;13;1;2.0;1;8;1;1.0;3;2
31912;0;6;3;2;19;7;10.0;2;7;3;1.0;3;2
33562;1;4;3;4;15;13;7.0;3;2;2;3.0;5;4
18790;0;9;4;4;22;2;7.0;1;8;1;3.0;3;2
15096;1;6;6;4;17;13;4.0;4;9;2;1.0;3;2
36766;1;8;1;4;16;13;8.0;4;4;3;1.0;6;2
32780;0;3;5;3;13;5;2.0;5;7;1;1.0;4;4
22000;1;5;3;4;14;13;10.0;4;7;2;1.0;3;4
22527;0;6;7;4;14;13;2.0;1;8;2;2.0;3;2
17678;1;7;7;4;23;13;7.0;1;11;1;1.0;5;5
36460;0;3;5;2;14;1;7.0;1;12;3;1.0;5;3
18134;1;5;1;4;12;13;4.0;4;2;8;1.0;3;2
14028;0;7;4;4;21;13;7.0;4;5;2;1.0;7;2
18899;1;8;1;4;13;13;2.0;2;5;1;3.0;3;3
22575;0;9;6;2;6;1;4.0;1;3;3;3.0;3;2
35740;0;8;1;4;24;13;2.0;1;10;5;3.0;2;7
27887;0;7;5;2;19;1;2.0;1;6;2;1.0;3;2
31464;0;4;4;2;17;18;10.0;5;11;1;1.0;6;4
8042;0;3;3;4;22;13;2.0;1;8;1;1.0;3;2
18213;0;8;4;3;18;13;1.0;1;7;1;1.0;3;2
22499;1;3;2;3;17;13;10.0;4;4;2;3.0;3;2
18529;1;8;7;4;19;13;7.0;4;6;8;3.0;5;2
12665;1;4;5;4;19;1;2.0;1;10;1;1.0;3;2
7026;1;3;1;4;12;13;4.0;2;8;1;3.0;3;3
5103;1;6;7;4;21;13;10.0;4;10;2;1.0;3;2
23294;1;6;7;4;5;1;7.0;1;3;1;3.0;3;2
2704;0;6;5;3;17;13;2.0;4;1;8;1.0;3;2
31997;1;10;3;4;15;2;7.0;1;12;1;3.0;3;2
16753;1;6;1;4;9;21;8.0;1;7;1;3.0;3;2
22085;0;4;4;4;16;3;2.0;5;11;2;1.0;3;2
10812;0;4;3;3;13;13;10.0;4;12;8;2.0;4;3
20261;0;3;4;3;13;1;4.0;1;9;1;2.0;3;2
1658;0;3;7;4;21;13;8.0;1;9;1;3.0;3;2
16767;0;3;5;4;1;13;2.0;2;7;1;3.0;3;3
16042;1;7;6;4;17;13;2.0;4;4;2;3.0;3;4
1509;0;10;1;4;10;13;2.0;3;5;1;1.0;3;2
1209;0;7;1;4;22;7;7.0;2;7;3;3.0;5;3
6952;1;12;1;4;15;13;2.0;1;10;3;1.0;3;2
8898;0;1;5;4;23;1;10.0;1;5;1;1.0;3;2
1663;0;9;1;4;12;13;10.0;4;10;8;3.0;3;2
12945;1;6;1;4;16;15;7.0;1;4;5;1.0;2;7
8804;1;11;4;4;14;2;7.0;4;9;2;3.0;3;2
5439;1;8;6;2;17;15;2.0;1;4;1;2.0;3;2
10999;0;6;4;3;20;13;4.0;1;2;5;1.0;2;7
32073;1;7;6;2;18;2;7.0;5;7;3;4.0;3;2
23164;0;7;1;2;16;18;7.0;5;6;1;2.0;3;2
31033;0;10;4;2;15;13;10.0;4;1;1;1.0;3;2
7070;1;6;6;4;21;18;7.0;4;7;3;1.0;5;2
1803;1;3;5;4;22;13;4.0;4;8;2;3.0;3;2
11710;1;9;4;4;15;13;2.0;4;5;1;3.0;3;2
31730;1;3;6;4;21;21;10.0;5;8;8;4.0;5;4
12017;1;4;2;4;18;1;8.0;1;5;1;3.0;3;2
7652;0;4;7;4;14;1;8.0;1;10;1;1.0;3;2
24761;1;10;5;3;10;1;7.0;1;3;1;2.0;3;2
32866;0;5;1;3;4;13;4.0;1;4;3;4.0;3;2
34270;1;5;1;4;19;13;7.0;4;10;2;3.0;3;2
14410;0;5;5;2;1;13;7.0;2;6;1;3.0;6;4
32770;0;3;1;4;12;13;2.0;2;6;1;1.0;7;4
17605;0;7;1;4;17;13;7.0;4;4;2;1.0;3;2
18630;1;10;3;3;12;1;3.0;1;8;1;1.0;3;2
16306;1;4;6;4;17;13;10.0;4;5;2;3.0;5;5
20464;1;9;7;3;13;13;7.0;4;6;2;2.0;5;2
27543;0;10;1;4;12;7;7.0;2;2;8;1.0;3;2
24376;1;7;6;3;14;1;7.0;1;5;1;3.0;3;2
294;0;9;1;4;20;13;2.0;3;6;1;3.0;3;2
23172;0;9;4;3;8;13;7.0;2;6;1;2.0;5;4
20949;0;9;5;2;11;7;7.0;2;4;3;1.0;3;2
30008;1;4;3;4;22;21;11.0;4;4;8;4.0;1;1
30918;0;8;1;2;17;10;2.0;5;9;2;3.0;3;4
268;0;3;4;4;18;13;2.0;3;3;1;1.0;3;2
22340;0;12;7;4;8;13;2.0;2;7;8;1.0;3;4
4330;0;7;1;3;1;13;7.0;2;6;3;3.0;4;3
11183;1;9;2;4;19;7;7.0;2;6;1;3.0;3;3
2506;1;10;7;4;15;13;8.0;4;3;1;1.0;4;3
