id;Severity;age_classes;day_week;hour;impact1_classes;make;man_coll;month;speed_classes;rest_use;reljct2
2;1;7;6;22;13;2.0;4;2;4;1.0;2
3;0;4;6;12;13;4.0;3;2;4;1.0;1
5;1;7;4;17;13;4.0;1;3;5;2.0;1
6;1;8;2;15;7;10.0;2;3;2;1.0;1
7;1;7;5;20;1;7.0;1;3;2;1.0;8
9;1;9;4;10;13;2.0;4;3;4;2.0;2
10;1;9;1;17;12;7.0;6;3;3;1.0;1
11;1;10;2;12;1;7.0;1;3;3;1.0;1
12;0;8;4;5;4;7.0;4;3;4;1.0;2
14;0;8;6;14;13;7.0;3;3;5;1.0;1
16;0;5;1;17;12;4.0;6;3;4;1.0;1
17;1;9;7;10;13;7.0;1;4;5;1.0;1
18;0;4;1;23;1;4.0;1;4;5;3.0;1
21;1;3;2;14;13;4.0;1;4;7;3.0;1
22;1;4;3;21;1;10.0;1;4;4;1.0;1
24;0;4;5;7;13;4.0;4;5;4;1.0;8
27;0;8;7;22;13;4.0;4;5;5;1.0;2
28;1;10;7;10;13;7.0;4;5;5;3.0;8
29;1;6;7;14;13;7.0;4;5;4;1.0;1
32;0;6;6;5;13;10.0;1;6;4;3.0;1
34;0;4;1;23;13;4.0;2;6;7;1.0;1
38;0;8;6;21;13;7.0;1;6;4;1.0;3
40;0;6;1;3;13;4.0;3;6;6;1.0;1
41;1;2;2;20;10;4.0;4;6;4;1.0;8
42;0;9;2;21;13;7.0;1;6;5;1.0;1
44;1;7;4;11;4;7.0;4;6;4;1.0;8
45;0;7;6;3;13;4.0;1;6;5;1.0;1
49;0;8;7;13;13;7.0;1;7;5;1.0;1
50;1;5;2;19;11;7.0;1;7;4;1.0;1
55;0;5;1;16;13;10.0;1;7;6;3.0;1
58;0;6;2;21;13;8.0;1;8;5;1.0;1
61;0;7;3;16;13;1.0;1;8;5;1.0;1
62;1;6;4;13;1;2.0;1;8;6;2.0;5
66;1;8;6;23;1;7.0;1;8;5;2.0;1
68;1;6;6;17;13;4.0;4;9;6;1.0;2
70;1;7;5;16;13;7.0;2;9;4;2.0;3
72;1;3;7;22;1;7.0;1;9;4;2.0;1
74;1;12;5;12;13;7.0;1;9;5;1.0;1
78;0;5;7;12;3;2.0;4;10;4;2.0;8
79;1;9;7;13;13;7.0;4;10;4;2.0;2
81;0;9;4;16;11;8.0;4;10;4;1.0;3
86;0;7;4;7;13;7.0;4;11;5;2.0;2
87;0;4;1;20;13;4.0;4;10;5;1.0;8
88;1;6;5;22;1;4.0;1;11;3;1.0;1
89;0;2;7;9;18;2.0;4;11;2;3.0;8
90;0;8;4;19;13;7.0;1;12;5;2.0;1
98;1;10;4;17;13;7.0;4;8;3;1.0;2
104;0;8;1;12;1;1.0;1;8;3;1.0;1
105;1;10;3;14;4;8.0;4;8;2;1.0;2
109;0;3;3;18;15;4.0;1;1;4;3.0;1
110;0;7;7;24;15;2.0;1;1;5;3.0;1
117;1;10;6;15;1;4.0;1;2;3;1.0;1
119;0;4;3;20;15;10.0;1;2;6;1.0;1
123;1;9;2;19;19;8.0;6;3;4;3.0;1
126;1;8;7;9;18;7.0;5;3;4;3.0;1
129;1;10;2;16;13;2.0;4;3;4;3.0;2
130;1;9;3;17;13;2.0;4;2;3;3.0;2
133;1;9;5;17;13;7.0;4;2;3;3.0;2
134;0;3;1;12;13;2.0;4;3;4;1.0;2
135;1;5;5;18;13;4.0;4;3;3;3.0;2
136;1;9;7;16;18;7.0;4;3;4;3.0;2
141;0;8;7;16;1;7.0;4;4;5;3.0;12
148;0;4;5;8;1;8.0;1;4;3;1.0;2
152;0;9;1;13;13;7.0;3;4;4;3.0;1
153;1;7;1;13;1;7.0;3;4;4;1.0;1
156;1;10;6;16;22;7.0;4;4;5;1.0;1
157;1;5;1;1;13;4.0;2;5;3;3.0;3
159;1;8;1;18;13;7.0;2;5;5;1.0;1
161;0;6;7;21;13;7.0;1;5;4;3.0;1
165;1;9;7;15;15;7.0;1;5;3;3.0;1
166;1;7;7;13;1;7.0;1;5;5;3.0;1
168;0;10;7;15;13;7.0;1;5;4;3.0;1
174;1;7;6;22;21;4.0;1;5;3;3.0;8
175;0;9;1;21;13;10.0;3;5;5;3.0;1
177;1;9;2;10;7;2.0;2;6;4;1.0;1
178;0;12;7;22;15;4.0;1;6;5;1.0;1
179;1;6;6;13;13;4.0;2;6;6;1.0;1
182;0;5;6;17;13;10.0;4;6;5;3.0;2
186;1;9;6;20;15;7.0;1;7;5;1.0;1
187;0;7;4;4;15;2.0;1;7;4;3.0;1
188;0;7;4;7;7;4.0;2;7;5;1.0;1
189;1;5;6;23;13;2.0;4;7;5;3.0;2
191;1;6;6;4;1;4.0;1;7;3;1.0;2
192;0;9;6;8;13;2.0;4;8;3;1.0;8
194;0;3;2;20;13;4.0;4;8;4;3.0;2
202;0;3;4;2;15;2.0;1;9;7;1.0;1
203;0;8;6;20;21;7.0;1;9;3;3.0;1
204;1;4;7;2;13;4.0;2;9;6;1.0;1
205;1;3;7;4;1;10.0;1;9;4;3.0;2
208;1;9;7;11;18;7.0;6;9;3;1.0;1
209;0;10;7;11;18;7.0;6;9;3;1.0;1
211;0;8;7;1;7;2.0;2;9;4;3.0;1
213;1;4;4;22;13;4.0;4;8;3;1.0;2
215;1;3;2;20;13;2.0;3;8;3;1.0;8
218;1;7;5;14;1;7.0;1;9;4;3.0;1
222;1;6;4;17;1;7.0;1;10;4;1.0;1
225;1;4;2;16;13;7.0;4;10;3;3.0;2
228;1;3;7;24;1;10.0;1;9;4;1.0;1
229;1;10;7;12;1;7.0;1;9;5;3.0;1
230;1;4;7;12;15;2.0;1;9;5;3.0;1
232;0;3;1;15;1;4.0;1;9;5;1.0;8
236;0;4;1;24;13;7.0;1;10;3;3.0;3
238;1;11;4;9;1;7.0;1;10;4;1.0;1
239;1;6;5;17;13;3.0;4;10;3;1.0;8
242;1;9;4;17;18;7.0;4;11;2;3.0;2
243;1;9;3;23;13;7.0;1;11;5;3.0;1
244;0;8;7;14;1;7.0;1;11;5;1.0;1
245;1;8;4;14;1;7.0;1;11;3;3.0;8
248;1;4;6;13;13;4.0;2;11;3;1.0;12
250;0;7;7;13;7;10.0;2;11;3;3.0;1
255;0;5;4;16;13;2.0;4;12;4;1.0;2
256;0;3;6;20;1;2.0;4;11;4;1.0;8
258;1;3;3;20;13;2.0;4;11;4;1.0;2
259;1;3;7;12;13;4.0;4;11;3;1.0;3
260;1;10;3;17;13;10.0;2;11;3;1.0;1
265;1;8;6;12;13;10.0;4;12;4;3.0;2
268;0;3;4;18;13;2.0;3;3;7;1.0;1
310;1;3;3;24;2;8.0;1;8;4;3.0;1
342;0;7;3;15;1;7.0;1;1;4;1.0;1
344;0;7;5;18;13;7.0;4;1;4;2.0;2
345;1;3;3;9;13;4.0;3;1;3;2.0;3
346;1;8;4;17;21;7.0;5;1;5;2.0;1
347;0;6;6;20;1;2.0;1;1;4;2.0;1
349;1;13;7;7;18;7.0;1;1;5;2.0;1
351;0;3;7;14;18;2.0;6;1;2;2.0;1
352;1;9;6;15;13;7.0;1;1;4;1.0;1
353;0;10;1;11;1;3.0;6;1;4;2.0;1
355;0;6;2;10;13;1.0;3;1;4;1.0;3
356;1;3;3;9;1;2.0;1;1;4;1.0;2
357;0;3;1;17;1;10.0;1;1;3;2.0;2
359;0;3;4;19;1;2.0;1;1;5;2.0;1
360;0;6;7;18;13;7.0;1;1;6;2.0;1
364;1;9;6;10;1;7.0;1;1;4;2.0;8
368;1;4;3;14;1;8.0;1;2;6;2.0;1
372;1;7;1;15;13;7.0;2;2;5;2.0;1
374;0;9;3;10;1;7.0;1;2;4;2.0;1
375;0;5;2;21;1;2.0;1;2;6;2.0;1
382;0;11;1;11;1;7.0;1;2;4;1.0;1
383;0;10;1;12;1;7.0;1;2;4;1.0;1
384;0;9;7;12;13;2.0;3;1;5;2.0;1
386;0;10;6;16;7;7.0;2;2;4;2.0;1
393;0;8;5;16;13;7.0;2;2;5;2.0;1
396;0;5;7;2;13;7.0;2;3;6;2.0;1
397;0;6;7;2;7;2.0;2;3;4;2.0;1
407;0;7;6;16;1;7.0;1;3;5;2.0;1
409;0;6;4;7;13;7.0;4;3;5;2.0;2
412;1;10;5;9;1;8.0;1;3;3;2.0;8
414;0;6;4;20;1;4.0;1;3;4;2.0;8
417;0;5;5;19;13;4.0;3;3;5;2.0;1
419;0;6;3;6;13;7.0;4;3;3;2.0;1
423;1;6;6;9;13;2.0;2;4;5;2.0;1
425;0;8;2;16;13;10.0;3;4;4;2.0;1
431;1;7;1;18;1;2.0;1;1;3;1.0;1
432;0;4;5;14;13;4.0;2;4;4;2.0;8
