id;SEVERITY_classes;age_classes;day_week;DEFORMED_classes;m_harm_classes;hour;impact1_classes;lgt_cond;make;man_coll;month;p_crash1;pcrash4;pcrash5;rel_road;reljct1;reljct2;rest_use;sex;speedrel_classes;typ_int;valign;ve_total;vnum_lan;vsurcond;vtrafway;weather_classes
33221;1;9;6;4;1;22;13;3;7.0;2;4;1;2;2;1;0;8;3.0;1.0;0;1;2;2;4;2;3;1
18414;1;12;2;4;5;7;4;1;2.0;1;8;8;2;3;4;0;1;3.0;1.0;0;1;4;1;3;2;2;1
33075;1;4;4;4;1;10;9;1;4.0;4;4;1;2;2;1;0;2;1.0;1.0;0;2;2;2;3;2;6;1
11324;1;5;4;4;5;14;4;1;2.0;5;9;1;2;2;1;0;1;3.0;1.0;0;1;2;2;3;2;2;1
10986;1;8;2;4;1;19;12;3;4.0;4;1;1;2;2;1;0;2;1.0;1.0;0;2;2;2;3;2;2;1
35417;0;4;4;4;1;17;13;1;10.0;2;9;1;2;2;1;0;1;4.0;1.0;0;1;2;2;6;2;4;1
33705;0;3;3;4;1;19;13;1;2.0;2;8;7;2;2;1;0;1;1.0;1.0;1;1;2;2;7;2;4;1
5897;0;7;5;4;3;16;15;1;7.0;1;9;8;3;3;4;0;1;3.0;1.0;0;1;4;1;3;2;2;1
32264;1;4;1;4;1;19;13;1;10.0;3;6;8;2;2;1;0;1;4.0;1.0;0;1;3;3;3;2;2;1
15900;0;9;2;4;1;16;1;1;7.0;1;8;7;2;2;1;0;8;3.0;1.0;0;1;2;2;3;2;2;1
18237;1;8;6;4;5;13;1;1;2.0;1;8;8;2;2;1;0;1;1.0;1.0;1;1;3;1;3;2;2;1
31912;0;6;3;2;1;19;7;1;10.0;2;7;5;2;2;1;0;3;1.0;1.0;0;2;2;2;3;2;2;1
33562;1;4;3;4;1;15;13;1;7.0;3;2;1;2;2;1;1;2;3.0;1.0;0;2;2;2;5;2;4;1
18790;0;9;4;4;1;22;2;2;7.0;1;8;8;3;3;4;0;1;3.0;1.0;0;1;4;1;3;2;2;1
15096;1;6;6;4;1;17;13;1;4.0;4;9;1;2;2;1;0;2;1.0;1.0;1;2;2;2;3;2;2;1
36766;1;8;1;4;1;16;13;1;8.0;4;4;1;2;2;1;0;3;1.0;1.0;0;2;2;2;6;2;2;1
32780;0;3;5;3;1;13;5;1;2.0;5;7;1;2;2;1;0;1;1.0;2.0;0;1;2;2;4;2;4;1
22000;1;5;3;4;1;14;13;1;10.0;4;7;8;2;2;1;0;2;1.0;1.0;0;2;2;2;3;2;4;1
22527;0;6;7;4;1;14;13;1;2.0;1;8;1;3;2;1;0;2;2.0;1.0;0;3;2;1;3;2;2;1
17678;1;7;7;4;1;23;13;3;7.0;1;11;1;2;2;1;0;1;1.0;1.0;1;1;2;1;5;2;5;1
36460;0;3;5;2;5;14;1;1;7.0;1;12;1;3;2;1;0;3;1.0;1.0;0;3;2;2;5;2;3;1
18134;1;5;1;4;1;12;13;1;4.0;4;2;1;2;2;1;0;8;1.0;1.0;0;1;2;2;3;2;2;1
14028;0;7;4;4;1;21;13;3;7.0;4;5;1;2;2;1;0;2;1.0;1.0;0;2;2;2;7;2;2;1
18899;1;8;1;4;1;13;13;1;2.0;2;5;1;2;2;1;0;1;3.0;1.0;1;1;2;2;3;2;3;1
22575;0;9;6;2;5;6;1;1;4.0;1;3;1;2;3;5;0;3;3.0;1.0;0;3;2;1;3;2;2;1
35740;0;8;1;4;3;24;13;3;2.0;1;10;1;2;3;10;1;5;3.0;1.0;0;1;2;1;2;2;7;1
27887;0;7;5;2;1;19;1;1;2.0;1;6;1;2;2;1;0;2;1.0;1.0;0;2;2;2;3;2;2;1
31464;0;4;4;2;1;17;18;2;10.0;5;11;7;2;2;1;0;1;1.0;1.0;0;1;2;2;6;2;4;1
8042;0;3;3;4;2;22;13;2;2.0;1;8;8;2;3;4;0;1;1.0;1.0;1;1;5;1;3;2;2;1
18213;0;8;4;3;1;18;13;1;1.0;1;7;1;2;2;1;0;1;1.0;1.0;0;1;2;1;3;2;2;1
22499;1;3;2;3;1;17;13;1;10.0;4;4;1;2;2;1;0;2;3.0;1.0;0;3;2;2;3;2;2;1
18529;1;8;7;4;1;19;13;1;7.0;4;6;1;2;2;1;0;8;3.0;1.0;0;1;2;2;5;2;2;1
12665;1;4;5;4;5;19;1;2;2.0;1;10;1;2;3;4;0;1;1.0;1.0;1;1;2;1;3;2;2;1
7026;1;3;1;4;1;12;13;1;4.0;2;8;1;2;2;1;0;1;3.0;1.0;1;1;2;2;3;2;3;1
5103;1;6;7;4;1;21;13;3;10.0;4;10;1;2;2;1;0;2;1.0;1.0;0;3;2;2;3;2;2;1
23294;1;6;7;4;5;5;1;1;7.0;1;3;1;3;2;1;0;1;3.0;1.0;1;1;3;1;3;2;2;1
2704;0;6;5;3;1;17;13;1;2.0;4;1;1;3;2;1;0;8;1.0;1.0;1;1;2;2;3;2;2;1
31997;1;10;3;4;2;15;2;1;7.0;1;12;8;2;2;1;0;1;3.0;1.0;0;1;4;1;3;2;2;1
16753;1;6;1;4;1;9;21;1;8.0;1;7;8;3;3;5;0;1;3.0;1.0;1;1;4;1;3;2;2;1
22085;0;4;4;4;1;16;3;1;2.0;5;11;1;2;2;1;0;2;1.0;1.0;0;2;2;2;3;2;2;1
10812;0;4;3;3;3;13;13;1;10.0;4;12;1;3;2;1;0;8;2.0;1.0;1;1;2;2;4;2;3;1
20261;0;3;4;3;5;13;1;1;4.0;1;9;1;3;3;4;0;1;2.0;1.0;1;1;2;1;3;3;2;1
1658;0;3;7;4;5;21;13;2;8.0;1;9;8;2;3;5;0;1;3.0;1.0;1;1;4;1;3;2;2;1
16767;0;3;5;4;5;1;13;2;2.0;2;7;1;2;2;1;0;1;3.0;1.0;1;1;2;2;3;2;3;1
16042;1;7;6;4;1;17;13;1;2.0;4;4;1;2;2;1;1;2;3.0;1.0;0;2;2;2;3;2;4;1
1509;0;10;1;4;1;10;13;1;2.0;3;5;8;2;2;1;0;1;1.0;1.0;0;1;4;3;3;2;2;1
1209;0;7;1;4;1;22;7;3;7.0;2;7;5;2;2;1;0;3;3.0;1.0;0;2;2;2;5;2;3;1
6952;1;12;1;4;1;15;13;1;2.0;1;10;1;2;2;1;0;3;1.0;1.0;0;3;2;1;3;2;2;1
8898;0;1;5;4;5;23;1;2;10.0;1;5;1;2;2;1;0;1;1.0;1.0;1;1;2;1;3;3;2;1
1663;0;9;1;4;1;12;13;1;10.0;4;10;1;2;2;1;0;8;3.0;1.0;0;1;2;2;3;2;2;1
12945;1;6;1;4;3;16;15;1;7.0;1;4;8;2;3;8;1;5;1.0;1.0;1;1;3;1;2;2;7;1
8804;1;11;4;4;1;14;2;1;7.0;4;9;8;2;2;1;0;2;3.0;1.0;0;2;2;2;3;3;2;1
5439;1;8;6;2;1;17;15;1;2.0;1;4;1;2;3;4;0;1;2.0;1.0;1;1;2;2;3;2;2;1
10999;0;6;4;3;1;20;13;2;4.0;1;2;1;2;2;1;1;5;1.0;1.0;0;1;2;4;2;2;7;1
32073;1;7;6;2;1;18;2;1;7.0;5;7;7;2;2;1;0;3;4.0;1.0;0;2;2;2;3;2;2;1
23164;0;7;1;2;1;16;18;1;7.0;5;6;7;2;2;1;0;1;2.0;2.0;0;1;2;3;3;2;2;1
31033;0;10;4;2;1;15;13;1;10.0;4;1;1;2;2;1;0;1;1.0;1.0;0;1;2;2;3;2;2;1
